record_ID;archipelago;lat;first_arrival_BP;XV_arrival;DEPTH_numeric;TIME_BP;K;Fe;Sr;N;Si;Ca;Ti;V;Mn;Fe;Cl;Sr;Zr
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;759.5;456;0;16855;2729;6505;1123.5;862.5;33694.5;1322;997;1542.5
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;813.75;468;0;17774;3226;6772.5;1033;992.5;34289.5;1765;944.5;1266
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;868;477;477.5;19100.5;3429.5;6592.5;992;721.5;32903.5;2170;883.5;1175.5
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;922.25;482;335;19832;3372.5;6899.5;1001.5;950;34633.5;2001.5;940.5;1135
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;1030.75;485;182;19519.5;2499.5;5352.5;811.5;835.5;31400.5;1871.5;858.5;915
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;1085;488;318.5;20863;3361.5;7309;1079;1012;41917;1786.5;903.5;1329.5
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;1139.25;490;706;21468;3406.5;7244.5;1027;992.5;49295.5;1987.5;933;1406.5
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;1193.5;491;764;19535.5;3271;6991.5;1087.5;967.5;46932;1967;1002.5;1348.5
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;1247.75;491;186.5;18168.5;3269;6675.5;953.5;913;56956;2060.5;1093;1440.5
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;1302;493;489;19402.5;3537;8720.5;1105;1042.5;60954.5;1475;1088.5;1972
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;1410.5;498;710.5;20474;3690.5;7560;968.5;891.5;43502;2224.5;1213;1337.5
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;1464.75;502;273;20383.5;3660.5;7413;1058;1042.5;51542;1798;1104;1400
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;1519;508;405.5;18684.5;4268.5;5527;1092;886.5;31327.5;2043.5;1687;1551
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;1573.25;515;0;18198;2577;4867;995.5;839;28647;1714;938.5;853.5
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;1627.5;523;149;23477;3987;8829;1108;1180;41789;1629;1156;1252
